pcode,lga_name,state,heigit_data_present,school_age_population_share,weak_access_pct,access_score_norm
NG002001,Demsa,Adamawa,False,0.0,100.0,1.0
NG002002,Fufore,Adamawa,True,0.0,100.0,1.0
NG002003,Ganye,Adamawa,False,0.0,100.0,1.0
NG002004,Gombi,Adamawa,False,0.0,100.0,1.0
NG002005,Girei,Adamawa,True,0.08,99.92,0.9991770393992387
NG002006,Guyuk,Adamawa,False,0.0,100.0,1.0
NG002007,Hong,Adamawa,True,5.03,94.97,0.9482563522271371
NG002008,Jada,Adamawa,False,0.0,100.0,1.0
NG002009,Lamurde,Adamawa,False,0.0,100.0,1.0
NG002010,Madagali,Adamawa,False,0.0,100.0,1.0
NG002011,Maiha,Adamawa,True,0.28,99.72,0.9971196378973356
NG002012,Mayo-Belwa,Adamawa,False,0.0,100.0,1.0
NG002013,Michika,Adamawa,True,1.62,98.38,0.9833350478345849
NG002014,Mubi North,Adamawa,True,0.0,100.0,1.0
NG002015,Mubi South,Adamawa,True,6.82,93.18,0.9298426087851045
NG002016,Numan,Adamawa,False,0.0,100.0,1.0
NG002017,Shelleng,Adamawa,False,0.0,100.0,1.0
NG002018,Song,Adamawa,False,0.0,100.0,1.0
NG002019,Toungo,Adamawa,False,0.0,100.0,1.0
NG002020,Yola North,Adamawa,True,73.53,26.47,0.24359633782532655
NG002021,Yola South,Adamawa,True,56.72,43.28,0.41652093406028184
NG008001,Abadam,Borno,True,0.92,99.08,0.9905359530912458
NG008002,Askira/Uba,Borno,True,0.02,99.98,0.9997942598498097
NG008003,Bama,Borno,True,0.24,99.76,0.9975311181977163
NG008004,Bayo,Borno,False,0.0,100.0,1.0
NG008005,Biu,Borno,True,31.54,68.46000000000001,0.6755477831498817
NG008006,Chibok,Borno,True,23.28,76.72,0.7605184651784795
NG008007,Damboa,Borno,False,0.0,100.0,1.0
NG008008,Dikwa,Borno,False,0.0,100.0,1.0
NG008009,Gubio,Borno,False,0.0,100.0,1.0
NG008010,Guzamala,Borno,False,0.0,100.0,1.0
NG008011,Gwoza,Borno,True,9.66,90.34,0.9006275074580805
NG008012,Hawul,Borno,True,0.0,100.0,1.0
NG008013,Jere,Borno,True,76.89,23.11,0.20903199259335453
NG008014,Kaga,Borno,False,0.0,100.0,1.0
NG008015,Kala/Balge,Borno,False,0.0,100.0,1.0
NG008016,Konduga,Borno,True,7.06,92.94,0.9273737269828207
NG008017,Kukawa,Borno,True,23.86,76.14,0.7545520008229606
NG008018,Kwaya Kusar,Borno,False,0.0,100.0,1.0
NG008019,Mafa,Borno,True,38.68,61.32,0.6020985495319411
NG008020,Magumeri,Borno,False,0.0,100.0,1.0
NG008021,Maiduguri,Borno,True,97.21,2.7900000000000063,0.0
NG008022,Marte,Borno,True,12.97,87.03,0.8665775126015842
NG008023,Mobbar,Borno,True,0.0,100.0,1.0
NG008024,Monguno,Borno,True,3.8,96.2,0.9609093714638411
NG008025,Ngala,Borno,True,81.58,18.42,0.16078592737372693
NG008026,Nganzai,Borno,False,0.0,100.0,1.0
NG008027,Shani,Borno,False,0.0,100.0,1.0
NG036001,Bade,Yobe,False,0.0,100.0,1.0
NG036002,Bursari,Yobe,False,0.0,100.0,1.0
NG036003,Damaturu,Yobe,False,0.0,100.0,1.0
NG036004,Fika,Yobe,False,0.0,100.0,1.0
NG036005,Fune,Yobe,False,0.0,100.0,1.0
NG036006,Geidam,Yobe,False,0.0,100.0,1.0
NG036007,Gujba,Yobe,True,13.74,86.26,0.8586565168192574
NG036008,Gulani,Yobe,False,0.0,100.0,1.0
NG036009,Jakusko,Yobe,False,0.0,100.0,1.0
NG036010,Karasuwa,Yobe,False,0.0,100.0,1.0
NG036011,Machina,Yobe,True,2.3,97.7,0.9763398827281144
NG036012,Nangere,Yobe,True,4.17,95.83,0.9571031786853205
NG036013,Nguru,Yobe,False,0.0,100.0,1.0
NG036014,Potiskum,Yobe,True,55.61,44.39,0.427939512395844
NG036015,Tarmua,Yobe,False,0.0,100.0,1.0
NG036016,Yunusari,Yobe,True,0.13,99.87,0.998662689023763
NG036017,Yusufari,Yobe,False,0.0,100.0,1.0
