pcode,lga_name,state,total_schools,closed_schools,pct_closed,school_disruption_score_norm
NG008001,Abadam,Borno,27,27,100.0,1.0
NG008002,Askira/Uba,Borno,117,0,0.0,0.0
NG008003,Bama,Borno,117,93,79.48717948717949,0.7948717948717949
NG008004,Bayo,Borno,46,0,0.0,0.0
NG008005,Biu,Borno,109,0,0.0,0.0
NG008006,Chibok,Borno,74,21,28.37837837837838,0.28378378378378377
NG008007,Damboa,Borno,131,102,77.86259541984732,0.7786259541984732
NG008008,Dikwa,Borno,45,38,84.44444444444444,0.8444444444444444
NG008009,Gubio,Borno,24,18,75.0,0.75
NG008010,Guzamala,Borno,28,8,28.57142857142857,0.2857142857142857
NG008011,Gwoza,Borno,125,94,75.2,0.752
NG008012,Hawul,Borno,142,0,0.0,0.0
NG008013,Jere,Borno,103,31,30.097087378640776,0.30097087378640774
NG008014,Kaga,Borno,53,33,62.264150943396224,0.6226415094339622
NG008015,Kala/Balge,Borno,41,41,100.0,1.0
NG008016,Konduga,Borno,92,71,77.17391304347827,0.7717391304347827
NG008017,Kukawa,Borno,42,19,45.23809523809524,0.4523809523809524
NG008018,Kwaya Kusar,Borno,56,0,0.0,0.0
NG008019,Mafa,Borno,50,41,82.0,0.82
NG008020,Magumeri,Borno,26,22,84.61538461538461,0.8461538461538461
NG008021,Maiduguri,Borno,121,0,0.0,0.0
NG008022,Marte,Borno,47,47,100.0,1.0
NG008023,Mobbar,Borno,27,21,77.77777777777779,0.7777777777777779
NG008024,Monguno,Borno,60,48,80.0,0.8
NG008025,Ngala,Borno,39,29,74.35897435897436,0.7435897435897436
NG008026,Nganzai,Borno,30,24,80.0,0.8
NG008027,Shani,Borno,63,0,0.0,0.0
NG036001,Bade,Yobe,80,0,0.0,0.0
NG036002,Bursari,Yobe,80,0,0.0,0.0
NG036003,Damaturu,Yobe,74,11,14.864864864864865,0.14864864864864866
NG036004,Fika,Yobe,139,0,0.0,0.0
NG036005,Fune,Yobe,137,0,0.0,0.0
NG036006,Geidam,Yobe,56,7,12.5,0.125
NG036007,Gujba,Yobe,80,38,47.5,0.475
NG036008,Gulani,Yobe,68,0,0.0,0.0
NG036009,Jakusko,Yobe,94,0,0.0,0.0
NG036010,Karasuwa,Yobe,53,0,0.0,0.0
NG036011,Machina,Yobe,35,0,0.0,0.0
NG036012,Nangere,Yobe,93,0,0.0,0.0
NG036013,Nguru,Yobe,95,0,0.0,0.0
NG036014,Potiskum,Yobe,118,0,0.0,0.0
NG036015,Tarmua,Yobe,52,7,13.461538461538462,0.1346153846153846
NG036016,Yunusari,Yobe,55,11,20.0,0.2
NG036017,Yusufari,Yobe,72,0,0.0,0.0
